"holderAddress","DEPOSIT_NECT_VAULT","DEPOSIT_iBGT_VAULT","GALXE","CUBQUEST","HOLD_GENESIS_NFT","HOLD_BERAC_POL_NFT","HOLD_BERAC_POL_2_NFT","STAKE_DIRAC_Phase_2","Stake_LP_KODIAK","STAKE_INFRARED","STAKE_BGT_STATION","TOTAL_POINTS"
"0x953c22779b212f145a85061ab3a13e43b3c50427",0,0,0,0,0,75,0,0,0,0,0,75
"0x795a805d3bc88d0724dea1432f309b65caeef89e",20,20,0,50,0,45,80,0,0,0,0,215
"0x0c415603f88ddcac90a2a9b9c99b27edb6e79e97",20,0,50,50,0,75,200,0,10,0,0,405
"0x18a428ce0c31584a21cf8cefdb8849d8013e1994",20,20,50,50,0,75,160,10,0,0,0,385
"0x69295e9634627efb65c214f91241d482b9860a54",20,20,50,50,0,75,200,10,0,0,0,425
"0xc1fa63bd4189a9c49a30010b6a3ab11194a95842",0,0,0,0,0,75,200,0,0,0,0,275
"0x7bfee91193d9df2ac0bfe90191d40f23c773c060",20,20,0,0,0,45,200,10,10,0,0,305
"0x20c6f73a8f39cba0597b8bba1073cd515e4d7edf",20,20,0,50,0,75,200,10,0,0,0,375
"0xfb44496ef7ce7dc94da1ec9f45115c80bba1778d",20,20,0,50,45,75,160,10,0,0,0,380
"0x2bfb71ad67f2edfc21c3818e18c0e708222b0671",20,20,50,50,0,45,0,10,10,0,0,205
"0xadcf1c25c9417072708271e8ece7c3675e2b2be8",20,20,0,50,0,75,0,0,0,0,0,165
"0x119357d6ace3942901b1fc57021b80b2a43a6051",0,0,0,0,0,0,200,0,0,0,0,200
"0x60b22dbf7fe35b3d901dd051df42d6d1f9026cc1",20,20,0,0,0,75,200,10,10,0,0,335
"0x58fd7e37d15b2e09cceea7be4dee79020b1d5af1",20,20,0,50,0,75,160,10,10,0,0,345
"0xdecaa1d0eaa8c405766267736fcec49e05825048",20,20,0,50,0,75,160,10,10,0,0,345
"0xcf444c7efbff36f78ee34a29e24714db294f6ca4",20,20,0,50,0,75,200,10,0,0,0,375
"0x16af152145aeb1c7f9411c1ca5c36423d9a0d863",20,20,50,50,0,0,0,10,0,0,30,180
"0x39f2f6633a9b8ca0b24874b55783f47395ba2f92",0,0,0,0,0,15,0,0,0,0,0,15
"0x4f5f9db14e195484cf7790fd3946cf6e66a166b0",20,20,50,50,0,75,40,10,0,0,0,265
"0x6972e222ed2610cf03a1d19ae4f0f7ee12c3fe7d",20,20,0,0,0,0,0,10,0,0,0,50
"0x1af4f1b50da0ceb170717a5e63670b4183c43e80",20,20,0,0,0,0,0,10,0,0,0,50
"0x254f56664a27fdcfa50ced057f0f6788d1f8d43b",0,0,0,0,0,0,200,0,0,0,0,200
"0x754429c53b923a6eac03b65027a62a6851d58d64",0,0,0,0,0,75,40,0,0,0,0,115
"0xe7e7da306f4bd8d1e82d26e1e1aa45703e7d3566",20,20,0,0,0,60,40,10,10,0,0,160
"0xb0ce77b18b8663baa0d6be63b7c5ee0bdf933001",20,20,0,50,0,0,200,10,10,0,30,340
"0x71ac0a4b655d6d0d6d4f59345561a8ca0775ba2c",0,0,0,0,0,45,0,0,0,0,0,45
"0xf376e1e42477e1853bb234f990731d6fa4c9cf63",20,20,0,0,0,75,40,10,10,0,0,175
"0xbdbc9fb0d79660bd598591b72512caf110a0c7e4",20,20,50,50,0,75,200,10,0,0,0,425
"0x49445612ede0b56c0acf0cfc7c866f5d33ab2d75",20,20,50,50,0,45,160,10,0,0,0,355
"0x2a4f47923cf68e2329624575b1f9f4af4ae9cf82",20,20,0,50,0,45,0,10,0,0,30,175
"0xeb17b18d1c1503e6f090fc15c2318903d0a906f2",20,20,0,50,0,75,0,10,0,0,0,175
"0x428deb81a93bed820068724eb1fcc7503d71e417",0,0,0,0,0,45,0,0,0,0,0,45
"0x794c94f1b5e455c1dba27bb28c6085db0fe544f9",20,20,0,50,0,0,0,0,0,0,0,90
"0xeac8a349d0b56797c1e5b2517c9c660a140f07f3",20,20,0,50,0,45,40,0,0,0,0,175
"0xd51a2f6434cb702e0b0a6cd9e70e33b720d403f3",20,20,0,50,0,75,0,0,0,0,0,165
"0x2204464061dd3fec8e45b677308e9e100b49cdca",20,20,0,0,0,0,0,10,0,0,0,50
"0xc9d15f4e6f1b37cbf0e8068ff84b5282edef9707",20,20,50,50,0,30,40,0,0,0,0,210
"0xb696d48ef52670cdfc719259d0e1bff994bcabde",20,20,50,50,0,75,120,10,10,0,30,385
"0xcd84c7548b2f2c0367e75ea552f1ebda12f91086",20,20,0,50,0,45,0,10,10,0,0,155
"0xa7530577983e2a1bcbd094edee034586efc65ec9",20,20,50,50,0,45,80,10,10,0,0,285
"0x1a627ba2ece47582be85b56bac5f5535de0a10d9",20,20,0,0,30,0,0,10,10,0,30,120
"0x9af0f7f1307c47faee62ce501216d73809a6d887",20,20,50,50,15,45,40,10,0,0,0,250
"0x762c8b9ffe6b8b34c8667717ec9ba07e53af1f7b",0,0,0,0,0,45,0,0,0,0,0,45
"0x5ba5bb2dda6770898855e40c2f2b5cd5d8e91d57",20,20,50,50,0,45,80,10,10,0,0,285
"0x45fcbd4e1652c7a1ab9bccc982a7b7dd5613d514",20,20,0,50,0,75,120,10,0,0,0,295
"0x1cb913ede262706455c8b82ec6768a4a4b84708f",0,0,0,0,0,45,0,0,0,0,0,45
"0xc36f2fe0f39a46a45c89bbf92d2531f7d1389062",20,20,0,50,0,75,80,10,10,0,0,265
"0x4217190be11722ca85de3ae4749ede3f2b32e279",20,20,50,0,30,15,0,10,10,0,0,155
"0x18526b0b16c9ac5f0ce7326e621fcf069ae6d259",0,0,0,0,0,45,0,0,0,0,0,45
"0xf35f8a19bdd6ceb6a3863146759b1e1e86e91c97",0,0,0,0,0,45,0,0,0,0,0,45
"0x8a249d31750d727e6a3a7b534255badd575aa26f",0,0,0,0,0,45,0,0,0,0,0,45
"0xf3e36e557a325af44acc5834759055819e22aece",20,20,0,50,0,75,40,10,10,0,0,225
"0x3532f44472f9269d3284a6b43c4b84844b5461c1",0,0,0,0,0,45,0,0,0,0,0,45
"0xa2b2f10a3c542fed3a53654cca97d34f628f55e3",20,20,0,50,0,60,40,10,10,0,0,210
"0x0b60abe5886bda278862b4cc03a80f502246f793",0,0,50,0,0,0,0,0,0,0,0,50
